day,time,code,codeLong,total,man0_9,man10_14,man15_19,man20_24,man25_29,man30_34,man35_39,man40_44,man45_49,man50_54,man55_59,man60_64,man65_69,man70,woman0_9,woman10_14,woman15_19,woman20_24,woman25_29,woman30_34,woman35_39,woman40_44,woman45_49,woman50_54,woman55_59,woman60_64,woman65_69,woman70
20200501,0,11110,11110640,14520.6775,343.9318,190.0175,261.0644,745.2212,976.4633,652.188,599.2824,486.0386,567.1665,434.3435,479.8072,292.75,262.2925,715.2326,212.044,145.433,342.227,923.8156,883.5671,664.5773,595.7891,489.6492,523.5598,412.5525,463.3124,436.9531,374.9881,1046.4097
20200501,0,11110,11110650,26421.5198,532.7675,405.0473,895.7904,2191.5571,1810.3449,862.2817,793.2978,770.8235,872.0864,809.639,709.1062,507.7554,436.1611,1140.7203,481.1047,313.951,989.3257,2787.9643,1172.8453,814.4759,686.0167,819.0676,1072.5449,708.8548,845.1501,653.7619,587.289,1751.7898
20200501,0,11110,11110670,9579.7318,53.4905,37.162,118.7251,307.3046,411.6027,499.7436,527.6166,407.3459,399.2007,428.9187,430.6059,370.6397,233.8145,377.2081,141.2121,69.3219,97.1602,287.0566,315.4036,324.4177,457.4772,475.7202,583.1539,419.3765,505.8224,421.9407,274.7238,603.5664
20200501,0,11110,11110680,11300.2582,190.8982,129.3183,277.7525,363.4297,393.3845,362.1529,381.9304,380.5509,495.3613,554.2994,626.9739,487.663,269.6999,555.1169,213.0347,159.1345,308.2224,488.6024,326.4428,351.746,322.5893,339.7311,450.8055,522.8593,670.7204,495.5278,367.9754,814.3349
20200501,0,11110,11110690,5292.8455,150.0117,78.2415,161.3538,154.3094,167.8245,170.3264,254.1637,172.8952,255.0183,171.0294,242.344,176.5449,119.3119,251.8796,164.3896,106.9263,124.1296,183.4425,189.7869,190.6715,226.4588,188.2467,246.7838,250.7083,196.9575,187.3461,161.584,350.1581
20200501,0,11110,11110700,6815.8759,192.0945,91.0399,147.0138,188.8046,233.1407,255.4626,274.5558,213.4846,276.5051,274.4205,331.8895,273.2035,206.9421,347.1111,171.6824,87.6677,131.9987,258.4869,252.5878,219.2362,307.5725,234.9402,318.0013,290.1554,318.3859,260.9894,213.4381,445.0666
20200501,0,11110,11110710,12318.8292,209.9209,104.9604,177.1968,410.7842,595.9592,573.1057,601.9009,461.3356,590.3329,524.5619,590.7262,529.7567,355.3757,570.0344,233.9749,97.2704,211.0673,595.796,616.894,493.933,533.9253,398.3076,414.6371,473.8951,505.3485,440.5213,306.326,700.9805
20200501,0,11140,11140520,6117.5923,392.7174,57.1226,81.2556,122.49,261.8685,449.8311,411.1818,431.7106,379.8785,249.602,227.2993,203.7335,109.7292,245.237,210.0205,102.6237,47.0641,155.4155,281.5425,322.1055,323.58,209.5464,213.1182,145.8498,129.526,118.2594,68.6421,166.6415
20200501,0,11140,11140540,8308.7814,138.8263,58.1409,82.3749,216.3254,377.8488,462.7235,516.424,421.5388,468.5146,401.0351,358.4309,374.2988,172.2566,322.6632,143.5642,51.0188,128.5312,199.7244,394.1734,415.572,415.1904,349.2665,317.7866,271.7972,323.9149,261.6708,244.2365,420.9331
20200501,0,11140,11140550,8075.0786,217.9268,66.5887,95.5378,321.0703,508.848,561.4468,564.2839,466.3624,410.6157,277.5188,322.2887,357.1315,187.6429,273.5763,110.8263,42.6255,120.3402,456.4956,542.1493,348.2387,414.8134,208.9266,291.0812,215.0795,164.4441,159.8574,114.6376,254.7244
20200501,0,11140,11140570,5358.5944,96.7056,32.2351,109.212,380.8989,313.1741,247.7263,298.1312,265.0487,218.8717,174.8153,224.6807,109.0651,111.0361,204.3506,84.1501,39.6935,118.5095,438.2081,351.8896,198.1283,178.8869,128.3298,142.1462,160.3071,132.7143,186.9596,102.6642,310.0553
20200501,0,11140,11140580,6916.2843,99.013,57.0585,183.1979,589.8073,437.9311,338.9828,383.7687,231.1661,268.3433,210.5015,216.8455,176.8029,140.0549,290.1471,122.7332,71.4084,191.3505,568.638,353.9777,267.418,311.3863,236.6222,209.7122,168.7692,187.1577,182.1749,122.7694,298.5459
20200501,0,11140,11140590,15646.3916,136.867,66.1266,203.7249,689.3718,984.086,1011.7413,1025.985,758.9297,772.3269,532.7902,624.3627,388.4916,297.5492,425.1992,169.9256,93.9589,187.2722,965.3931,1099.0192,895.4532,840.2346,610.4254,612.8917,466.4573,525.1285,423.6815,325.625,513.3733
20200501,0,11140,11140605,6163.5581,40.797,16.621,42.6855,279.222,376.0995,410.5106,400.3503,240.8869,307.8708,238.2483,270.4194,224.9768,143.1595,306.935,75.0955,32.6502,64.7196,378.555,463.6679,363.9302,257.3444,129.2107,167.9398,180.2174,213.4586,174.1105,111.8749,252.0009
20200501,0,11140,11140615,28160.0117,126.9237,92.487,276.573,1411.2302,1696.2487,1947.5816,2141.9882,1435.3416,1142.7935,978.2485,812.9136,557.9632,362.7357,682.7943,239.3815,103.1377,284.6273,1136.5463,1606.3883,1521.9853,1865.6396,1491.2365,1416.1745,1043.6555,1200.3741,817.1486,557.8764,1210.0168
20200501,0,11140,11140625,14742.738,358.352,197.964,277.3974,494.6933,611.1382,517.8289,655.7828,579.7201,611.459,530.3715,504.1746,454.4052,376.5513,750.3431,384.493,184.7947,324.0116,652.208,643.9637,591.6934,680.3731,523.9523,603.4272,446.56,536.9628,637.8708,463.6882,1148.5574
20200501,0,11140,11140635,18192.2469,463.7919,167.8105,264.3066,353.8082,446.4302,587.4288,827.4351,769.3147,700.6809,604.3209,627.4227,632.9567,516.9113,1011.9366,560.336,214.782,332.204,590.7006,595.7619,686.7575,922.2024,672.4118,826.0766,599.2849,875.0812,835.1724,640.2071,1866.7134
20200501,0,11140,11140645,13010.6955,415.3926,197.8838,274.7225,354.9394,426.393,451.281,537.0881,470.3115,458.9899,508.8491,509.4634,393.8935,281.3036,723.082,380.6574,193.2186,275.9282,490.5474,461.5731,545.6531,607.1454,480.9111,520.0985,500.1305,537.0248,468.6563,332.269,1213.2884
20200501,0,11140,11140650,10357.7867,347.987,160.9583,150.6184,261.9125,379.6191,377.9864,465.0687,418.7749,489.4048,368.4178,466.1335,367.9196,200.5097,440.788,355.1625,139.3,207.2379,390.8667,443.0159,389.6561,389.1647,402.7307,411.2486,400.3956,467.1632,352.8586,315.3844,797.5033
20200501,0,11140,11140665,10192.0479,369.3802,180.5111,239.0542,263.1386,331.1256,370.5218,395.7043,407.0792,423.6275,415.4521,435.1293,319.9319,273.4744,458.1169,279.1703,163.5339,264.0136,353.0093,386.2155,350.6288,450.6877,338.1537,404.8535,458.4661,434.7808,393.319,251.0028,781.9654
20200501,0,11140,11140670,13850.2248,360.2,95.0275,169.1282,340.9928,624.19,677.708,806.8243,577.306,520.5975,406.7583,525.79,330.3497,248.1145,559.7176,582.7858,150.5299,239.0484,616.2265,720.176,781.5623,787.0415,504.158,495.5475,439.0176,534.5529,496.9278,296.2655,963.6817
20200501,0,11140,11140680,7232.0404,212.7098,72.5769,142.3646,183.9579,275.3238,288.3953,407.1603,380.7383,330.555,312.3436,284.6177,250.1747,176.3808,366.5746,200.6298,77.8914,128.7758,181.32,321.8165,350.8826,412.1215,293.8547,253.2152,252.2052,227.5438,164.7177,201.8687,481.3254
20200501,0,11170,11170510,15796.6464,352.5963,194.8702,367.4854,407.714,623.6975,709.5186,743.9979,603.7956,711.5698,609.9778,619.7214,536.8553,372.3364,631.5612,293.2241,154.9679,339.4401,554.7267,691.273,720.7007,756.4761,577.1122,691.3412,542.1844,682.742,718.348,351.8316,1236.5808
20200501,0,11170,11170520,11723.6853,227.7125,122.4345,217.1518,399.6962,561.5498,615.3513,726.7654,537.6793,450.1884,320.7813,342.7138,338.0433,240.9123,533.5273,210.5198,118.9896,202.7021,395.3436,636.6103,684.3086,593.6629,494.7762,435.7817,333.4505,424.1687,365.3207,280.6701,912.8724
20200501,0,11170,11170530,8323.6208,59.9253,28.9151,209.6513,399.4907,426.3553,440.3707,314.9247,415.0426,425.4632,378.6778,415.3938,311.2024,254.0611,390.1009,111.1538,50.6066,146.5848,499.3087,401.5502,343.1381,325.9064,215.5138,284.1254,236.0667,336.1575,272.4694,155.7958,475.6693
20200501,0,11170,11170555,22247.7365,457.6834,329.5316,708.6435,774.8637,1123.3009,1073.3451,899.7296,759.5765,826.4298,783.139,776.4942,506.7612,400.7925,787.6126,455.2228,246.7466,712.5043,1724.8472,1378.5071,949.1644,895.2396,703.6348,837.9033,745.3141,813.9608,668.3025,568.3997,1340.086
20200501,0,11170,11170560,17600.8274,653.2469,208.7296,302.4327,530.4964,681.8654,853.3927,1166.0795,870.794,856.0465,546.9108,583.7253,415.2529,287.6501,586.3884,642.6378,190.3005,339.9806,616.6383,823.5221,995.2271,1082.3129,719.028,688.7,582.3668,663.5516,470.7197,373.4403,869.3904
20200501,0,11170,11170570,13556.0411,508.2331,227.2521,341.53,262.7681,390.6113,401.4463,556.447,530.8291,604.3277,571.5357,528.755,438.299,342.5893,672.5082,316.3622,253.1975,398.6636,502.4337,471.1789,457.5858,519.8914,542.9093,581.5986,528.3714,516.4237,469.4295,369.9391,1250.9247
20200501,0,11170,11170580,9242.0579,222.499,131.3865,243.5712,213.3174,317.8061,358.9112,417.6569,339.5236,450.9245,284.9656,316.1565,245.9807,182.7201,323.4816,467.9918,220.8028,249.4696,396.3805,474.2452,390.2749,487.9742,306.3011,408.7332,320.9768,355.3645,291.2754,208.5117,614.854
20200501,0,11170,11170590,11229.7174,362.9948,163.9779,295.3314,288.1462,343.9763,429.9206,501.869,385.8206,469.4805,423.124,366.0805,324.0936,241.3795,561.1647,295.6403,130.2513,340.3553,400.0314,491.4477,485.4884,556.861,369.8336,512.2169,460.7405,421.0924,407.1439,298.3846,902.8702
20200501,0,11170,11170625,26480.7679,694.4115,293.0006,549.8772,1496.0824,1287.2959,1392.1432,1465.3021,1236.472,1153.8849,983.3718,982.268,690.4149,439.142,979.9302,788.4464,293.4574,403.0536,879.7491,1370.8517,1333.5238,1347.2446,982.7464,1039.1452,784.3741,867.6472,771.3757,440.6441,1534.9114
20200501,0,11170,11170630,27976.309,1360.0508,730.4639,744.1613,620.4806,515.855,705.3193,1082.6686,1181.3257,1407.2689,1249.3604,897.4324,836.8231,541.7033,1271.8101,1236.9534,638.9389,696.1085,536.2516,665.4569,865.4491,1370.3741,1418.7504,1336.6814,1116.9045,1073.7193,992.0518,628.0952,2255.8513
20200501,0,11170,11170640,8472.8317,366.9816,128.3433,155.3724,181.9326,231.2408,277.8326,407.0862,330.4176,341.5591,338.981,323.5037,320.6718,198.2234,387.9361,294.1652,133.7114,178.4739,200.01,246.9549,312.6923,333.0486,308.7702,321.3224,290.7324,408.0365,371.0969,236.4101,847.3237
20200501,0,11170,11170650,12742.0459,106.1539,56.8437,211.3458,838.1969,1480.168,1108.8276,779.8474,482.2026,352.9758,348.1055,323.7473,300.9209,206.6473,409.9801,84.7276,37.6567,147.5766,971.4789,1203.4972,624.2669,527.6022,331.0468,307.5625,241.3562,297.7767,255.1995,199.83,506.5059
20200501,0,11170,11170660,13233.1463,278.2662,126.1904,189.0257,415.3582,727.4788,760.0214,917.9664,596.6359,582.897,353.0156,350.4999,299.6829,204.6999,577.7747,197.9273,97.5083,191.3881,497.6845,806.5003,876.2968,772.8509,544.2045,484.4148,387.2556,429.575,389.435,302.0284,876.5634
20200501,0,11170,11170685,30737.2902,575.3357,246.9642,459.6309,941.9529,1733.1556,1906.4047,2062.1573,1511.241,1253.9043,1054.1544,988.4221,737.3691,506.4106,1154.3553,712.6227,318.773,366.3914,1067.0383,1707.7807,1818.113,1782.3076,1129.5627,1252.9449,895.9813,986.9125,898.3146,713.8365,1955.2531
20200501,0,11170,11170690,14561.2004,432.0763,311.5771,502.7018,414.9047,454.8314,353.8342,478.3914,587.8956,847.3018,655.5271,504.6425,377.0207,298.5548,599.7192,516.4264,329.9384,445.8534,449.2514,452.4656,398.2306,539.8285,680.9849,856.6526,569.3436,468.4748,428.8959,386.3144,1219.5616
20200501,0,11170,11170700,12544.3729,139.8408,94.9789,286.0119,489.9324,742.0619,606.3513,706.3661,514.0259,499.9546,446.0764,437.5831,427.1342,259.3435,429.2598,287.453,183.4406,209.1309,436.6218,563.1354,572.2485,580.728,513.342,561.8173,421.1796,454.5901,500.232,331.6922,849.8402
20200501,0,11200,11200520,17146.021,609.1975,296.6067,473.4944,405.086,536.9583,651.6642,787.9007,684.0789,680.4082,539.4232,579.4198,546.5575,351.396,668.1203,705.6074,346.5946,387.777,615.1836,694.9018,798.2564,896.1715,672.2923,731.3639,593.8504,702.9012,621.9047,475.887,1093.0197
20200501,0,11200,11200535,27055.6994,1087.709,314.7966,496.7098,854.2305,1085.9722,1050.8775,1323.1386,1087.3744,1051.1934,855.9658,1022.9876,745.3552,525.9997,1036.6151,1115.0987,323.533,521.2775,1124.4116,1380.0147,1270.6691,1400.5829,989.0638,1002.6625,1026.7462,1140.2265,934.9978,632.115,1655.3747
20200501,0,11200,11200540,23575.5299,844.291,459.5379,633.9919,858.0239,1028.9983,968.6572,853.1094,765.7395,868.3329,770.1867,837.0677,705.6493,551.5393,983.7003,605.5539,336.6936,722.5523,1160.3373,1085.9052,916.749,846.5877,672.408,968.0287,912.6926,890.9972,831.2876,695.8606,1801.0507
20200501,0,11200,11200550,19349.3112,386.4702,176.1849,779.6025,2381.3579,2027.5651,842.3165,605.4216,440.3508,526.9531,389.5043,514.8516,354.3864,276.9478,553.8462,334.4881,159.9727,881.2386,2064.4181,1205.051,622.2271,504.039,371.0574,422.4066,445.3801,435.9641,422.7562,308.6152,915.9381
20200501,0,11200,11200560,17555.0245,473.5534,272.1821,452.9255,666.9236,910.5163,750.7268,766.0135,702.9019,730.7415,553.6165,668.1518,506.8881,353.5173,715.8527,436.9675,251.3067,521.4161,717.7251,842.3813,713.5208,808.3562,706.8971,726.4618,538.2049,689.8705,562.1697,372.0666,1143.1704
20200501,0,11200,11200570,21569.2035,1016.9859,514.3488,495.4837,436.3547,522.7803,619.3427,899.3704,863.0551,1023.5801,774.3858,765.2189,545.5488,393.1236,894.7614,965.3556,537.3802,581.839,664.8408,742.7619,786.9691,1058.3817,972.9079,875.8352,752.1687,887.4511,693.1772,566.8412,1718.9537
20200501,0,11200,11200580,14782.3959,586.033,359.4544,427.7595,296.6382,332.272,440.0305,627.4417,541.6254,666.5872,550.1715,590.8951,368.9853,355.7172,594.4179,517.1342,320.2941,405.665,417.7745,398.6909,598.1225,691.6514,651.2109,712.1754,526.8041,574.5757,516.2182,406.3999,1307.6505
20200501,0,11200,11200590,14955.9032,508.3608,280.5817,391.6469,329.9966,340.8913,446.2204,779.573,634.445,699.4769,544.3098,460.2944,443.155,308.2209,649.9982,596.148,273.184,310.7498,423.7489,468.2099,642.7648,942.9606,691.4018,678.6608,518.7135,560.9941,620.796,419.6434,990.7577
20200501,0,11200,11200615,24081.0727,1385.8545,448.813,541.7384,668.5361,653.1007,752.3266,1162.4339,1055.6914,1078.5583,771.7975,774.5787,609.0094,524.8007,1004.3092,952.1019,362.5687,594.7671,613.5004,765.2665,927.8551,1350.0396,983.0282,983.8554,891.3234,911.2627,870.6606,680.9443,1762.3501
20200501,0,11200,11200620,12974.6868,661.1747,216.4504,202.2149,256.0585,319.2301,524.9856,664.1635,465.4855,530.8795,421.3173,439.7893,362.3428,254.4752,709.4868,464.3214,151.4804,260.1083,285.0858,363.5264,554.521,681.3288,483.3906,550.8137,483.4092,611.0113,487.0178,429.3623,1141.255
20200501,0,11200,11200645,26450.1575,1394.7772,386.55,428.1585,389.2701,604.8505,935.5077,1478.7438,1310.5392,1082.0366,818.5381,767.584,649.3812,523.5564,1221.3892,1365.7452,434.1184,529.7675,598.0464,840.1877,1276.235,1648.9933,1173.6985,1147.3042,845.4215,969.4853,957.1932,810.237,1862.8437
20200501,0,11200,11200650,15033.6796,422.0566,203.1395,357.3703,446.2382,558.7562,680.0679,767.9824,589.0392,642.4558,649.9414,735.6701,529.2778,295.9688,556.4351,522.4557,268.0894,302.1056,480.3769,662.0501,714.2765,600.6197,494.5489,575.1854,611.626,731.4447,535.2059,311.6531,789.6436
20200501,0,11200,11200660,15686.3838,399.1824,180.0514,292.9574,406.686,634.8216,785.7354,806.6305,689.9151,646.819,606.1492,503.113,520.2072,329.5311,613.0152,623.3487,280.6221,334.4508,535.3801,697.4017,822.7294,737.3549,596.148,612.6206,483.6981,619.5217,574.9677,405.0728,948.254
20200501,0,11200,11200670,18048.1265,609.4596,271.8443,311.8592,540.1389,818.9324,808.0344,785.0019,682.222,828.8646,728.8013,1073.4057,736.3855,403.8152,538.3005,451.3439,232.2195,349.5082,590.7467,711.7228,677.2471,730.4576,572.1426,687.5638,719.4492,892.8517,782.9577,457.7966,1055.0545
20200501,0,11200,11200690,16456.8727,441.6648,146.8203,313.1808,590.6368,824.4002,844.4495,1007.8205,627.6889,717.9602,608.5871,703.6519,584.8333,354.986,668.8564,429.1024,152.0443,317.2561,674.3146,953.7415,829.7269,663.3685,562.2048,533.3381,502.3313,633.8522,494.9766,382.7964,892.2827
20200501,0,11200,11200720,11262.1264,194.9283,98.5715,220.7304,480.7567,708.8858,618.3203,602.5488,465.4753,477.6084,418.7557,478.1785,327.7854,261.8548,338.0074,261.1571,108.0139,234.6283,605.9083,611.4196,425.3855,575.9755,359.3959,393.234,376.5317,431.0171,385.3629,238.2181,563.4719
20200501,0,11200,11200790,15478.6128,320.9504,198.8113,346.3053,568.2736,724.9332,601.6427,740.303,614.383,772.6061,562.1391,650.1012,514.5082,347.8838,727.9635,254.2952,167.7101,360.5563,763.3086,702.5794,675.2957,663.7199,482.7067,693.4032,571.7958,555.286,466.0971,381.96,1049.0948
20200501,0,11215,11215710,34985.9044,407.9553,188.2869,898.6073,4063.361,3798.3156,1860.6055,1303.4123,850.3331,798.5756,786.5975,687.3303,519.2928,395.7969,647.0008,313.8498,145.7507,1148.4512,5167.2464,3311.6556,1655.7064,1027.3947,707.7548,733.4504,653.6759,695.0739,680.2229,504.6324,1035.5681
20200501,0,11215,11215730,17990.5314,429.8739,179.9155,407.0345,1141.7724,1309.6752,1037.041,831.9885,572.6502,610.7641,543.191,581.9271,478.2319,303.8544,605.9578,256.2467,125.547,392.838,1233.6011,1105.2274,879.3197,729.7262,522.2447,583.549,542.3771,598.4512,541.94,381.237,1064.3487
20200501,0,11215,11215740,16493.8806,407.4668,143.3378,312.6087,483.2351,823.9534,819.3636,835.7089,644.5248,619.9183,584.1583,640.7641,515.7822,377.0633,620.7931,368.7456,145.1624,331.0326,590.7945,963.1142,1009.0208,765.1795,549.5835,608.6646,597.4518,715.7196,605.11,406.1354,1009.4878
20200501,0,11215,11215750,20415.5131,710.4833,331.3187,460.533,593.1968,902.7472,928.3724,909.2817,732.5115,858.224,754.389,732.0284,508.0507,393.9873,732.2103,683.2975,337.8095,377.3867,756.7348,991.7117,1037.5413,986.8007,714.3101,805.91,773.0079,834.2577,720.3338,546.1725,1302.9038
20200501,0,11215,11215760,17192.7904,484.4207,239.5396,435.1558,509.0955,655.308,720.3277,765.8536,576.1077,676.2883,672.6935,758.8712,541.5295,375.75,795.0616,492.5857,239.0346,357.6938,547.084,646.2452,750.373,634.3157,618.3908,718.1785,724.7615,782.8599,749.8231,524.0262,1201.4156
20200501,0,11215,11215770,29561.0861,884.0365,431.6415,758.8288,880.4224,1107.7258,1153.6964,1115.221,974.2398,1122.3016,1114.0537,1289.8029,967.8545,664.757,1422.5137,782.128,362.6904,654.0795,1028.7112,1162.3069,1338.5975,1235.5836,1014.828,1105.9522,1254.5835,1287.3819,1321.8663,880.7449,2244.5377
20200501,0,11215,11215780,13062.9193,381.3897,127.1298,276.158,552.4183,769.5547,725.357,719.7259,476.2517,516.2218,363.7039,354.4911,343.6972,198.4301,537.9993,251.6332,89.9691,207.4524,659.4278,846.7086,817.4434,615.7571,350.7127,445.5471,388.2752,428.5238,456.5267,356.5641,805.8502
20200501,0,11215,11215810,39948.7124,1858.7614,1571.3468,1726.4897,1048.6147,960.1794,878.6262,1193.0394,1617.6472,2111.1932,1634.0705,1313.5408,971.8064,654.4015,1278.9977,1808.1144,1514.5744,1755.6238,1353.4319,1055.7702,1144.1615,1571.8101,2133.3909,2382.307,1597.124,1278.833,1016.2185,740.7387,1777.9012
20200501,0,11215,11215820,26123.3946,625.609,381.5362,592.8752,1052.2454,1369.9226,1170.6558,1091.7495,967.3176,1132.8301,821.2265,996.7698,719.0543,561.6363,914.782,478.802,276.9548,585.0811,1465.1469,1453.8374,1172.3715,1082.282,961.3927,894.9236,1016.164,1084.4486,962.7896,598.3904,1692.599
20200501,0,11215,11215830,23147.9489,726.3927,339.8168,562.6425,664.184,977.42,976.2594,1004.7509,895.5917,960.9882,858.3699,882.7635,667.1802,540.9684,913.9643,800.5855,347.753,554.4291,810.3661,926.5736,1023.1993,1107.5932,846.8417,927.5567,881.2821,938.1315,908.5449,669.2537,1434.5462
20200501,0,11215,11215840,24608.5864,1016.787,524.8635,767.8786,823.6691,881.6467,862.5588,1049.1935,868.3368,1167.5642,861.5993,898.6531,788.625,560.2676,1068.7827,905.9497,481.5476,590.3637,947.2202,888.0446,949.7273,1073.4859,1074.4941,1011.0364,1025.0298,959.1181,850.1244,556.6157,1155.4038
20200501,0,11215,11215847,24885.4175,578.2699,242.6462,515.3837,1064.7303,1084.8648,1062.8919,963.3507,884.9654,1092.1868,1051.3343,1146.2948,960.5339,545.9137,1101.1097,495.9115,242.5116,512.9458,1404.876,1286.7036,1018.7118,871.4911,760.7861,940.339,889.0466,1103.8598,909.5283,652.3706,1501.8598
20200501,0,11215,11215850,25745.3767,577.1731,268.7951,626.3048,1010.4498,1479.9523,1386.145,1121.8007,936.8615,1063.6243,831.9725,870.2997,644.1287,393.2259,1030.6042,584.2917,311.2104,665.9076,1223.9216,1564.2661,1302.3702,1129.018,951.1628,1076.4687,927.888,997.8162,828.0432,536.0247,1405.6501
20200501,0,11215,11215860,25830.9206,948.5655,524.3849,787.5744,653.4449,871.9705,860.8458,1096.9917,908.4602,1047.9946,873.7359,992.976,758.2043,472.2802,1188.6792,942.807,547.3352,757.623,860.1991,938.6795,795.8178,1127.1888,1124.205,1109.1738,1004.2731,1167.9629,978.7004,770.7793,1720.068
20200501,0,11215,11215870,31369.0786,1102.0884,599.4173,1027.8396,918.1863,1043.706,1138.9781,1116.1528,1062.6623,1433.8788,1171.3916,1098.1531,895.5419,632.7957,1233.1203,1332.758,696.6159,1023.3887,1139.7634,1178.1018,1236.6946,1226.4949,1253.8553,1558.4614,1265.8206,1324.3505,1197.6885,674.0756,1787.097
20200501,0,11230,11230536,35461.3526,784.3386,359.714,783.5594,1311.3246,1910.9831,1487.1982,1541.249,1345.2436,1442.5377,1294.4013,1450.4087,1271.7728,867.2058,1803.825,1026.6514,439.9938,751.4336,1800.0263,1722.0844,1411.8596,1320.935,1127.9199,1313.6704,1053.0493,1268.6603,1208.614,800.1709,2562.5211
20200501,0,11230,11230545,29165.2338,746.7592,356.8315,656.2286,1637.1059,1530.2781,989.1425,1020.4942,883.9717,1156.5888,935.1985,1120.2099,883.7559,764.9065,1778.974,576.3962,306.38,667.5165,2088.0408,1178.9042,790.4864,777.0205,744.4699,898.5385,867.6397,1108.2896,1055.9113,784.6684,2860.5234
20200501,0,11230,11230560,30891.6313,803.5617,393.6151,760.2539,1233.4446,1228.8864,1096.3375,1366.6628,1235.8576,1272.0518,1086.9087,1299.2677,1084.4027,748.9029,1423.3454,923.7891,456.5191,847.3096,1463.5349,1267.2548,1063.0789,1092.0134,979.2913,1142.711,1117.6585,1213.7711,1134.097,801.1399,2355.9633
20200501,0,11230,11230570,16910.5184,700.1348,403.9921,444.9981,422.322,538.9138,464.9506,659.8321,728.7919,764.0992,606.0125,578.5412,469.3747,431.9896,879.0006,577.9946,316.205,535.1533,647.3814,478.1196,503.4615,644.8681,688.0978,732.4047,592.0272,772.3037,623.02,423.78,1282.7482
20200501,0,11230,11230600,26192.2625,1215.328,495.7993,540.7306,650.3691,851.2923,973.2997,1298.0217,1151.7508,1133.4276,897.7778,1006.6877,831.815,516.186,1047.8386,925.0375,356.498,582.1484,870.2579,1011.788,1145.3619,1256.3204,1026.652,1018.2688,934.0189,1079.1968,866.7721,651.1095,1858.5083
